99745017c,0,0,0,0
ejerci78,0,0,0,0
47209,0,0,0,0
"calle valencia de don juan 161, 7?d",0,0,0,0
b3r3al,0,0,0,0
46942381w,0,0,0,0
elder@parcalia.hn,0,0,0,0
24596413y,0,0,0,0
compte,0,0,0,0
2366,0,0,0,0
leshowit,0,0,0,0
lehar,0,0,0,0
45699398p,0,0,0,0
"calle profesor angel lacalle, s/n,",0,0,0,0
tardn,0,0,0,0
3.54937E+15,0,0,0,0
14100,0,0,0,0
rigby,0,0,0,0
caada del hoyo,0,0,0,0
45641,0,0,0,0
englert,0,0,0,0
threader,0,0,0,0
elias pallares,0,0,0,0
f1581il2ente,0,0,0,0
57317186j,0,0,0,0
bocana$da,0,0,0,0
escarpelo,0,0,0,0
43785,0,0,0,0
3.4008E+15,0,0,0,0
lu,0,0,0,0
"calle limones, 60,",0,0,0,0
hana,0,0,0,0
dillard,0,0,0,0
casas de miravete,0,0,0,0
olea de boedo,0,0,0,0
empuar,0,0,0,0
0o380ado6,0,0,0,0
montroy,0,0,0,0
99997973e,0,0,0,0
8.36404E+15,0,0,0,0
"grupo fuensanta 197, 12?a",0,0,0,0
jalance,0,0,0,0
4.20136E+14,0,0,0,0
"c/ ricardo gutierrez 26, 8-d",0,0,0,0
ivancevi,0,0,0,0
castil de vela,0,0,0,0
genaro,0,0,0,0
ergasto,0,0,0,0
"llosa de ranes, la",0,0,0,0
es2eri5o,0,0,0,0
cuenca,0,0,0,0
02054707w,0,0,0,0
21184515c,0,0,0,0
5.71439E+15,0,0,0,0
41110,0,0,0,0
marcano giner,0,0,0,0
lemoine5@informatica2009.zr,0,0,0,0
pr3caz,0,0,0,0
37130,0,0,0,0
marsh@comerciosaspe.ke,0,0,0,0
inescourt7@citycvs.mil,0,0,0,0
"c/ julia minguillon, 179, 7-a",0,0,0,0
obsequ.iosa,0,0,0,0
"calle carlos amel, 32, 12?h",0,0,0,0
kallewar,0,0,0,0
59760678p,0,0,0,0
5240,0,0,0,0
toperzer1,0,0,0,0
canaan,0,0,0,0
suzuki,0,0,0,0
"antigua de ancora s/n,",0,0,0,0
"calle dean miranda 106, 6-f",0,0,0,0
10380,0,0,0,0
madgett,0,0,0,0
gerola pugliesi,0,0,0,0
